Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
AHLEAST,Asian Hotels (East) Limited,15.5,14.3,235,8.28,0.74,2.75
AHLUCONT,Ahluwalia Contracts (India) Limited,18.4,11.8,"5,811",22.1,0.07,11.8
AIAENG,AIA Engineering Limited,18.8,15.3,"37,575",35.1,0.4,29.71
AIIL,Authum Investment & Infrastructure Limited,30.8,34.1,"43,285",10.8,0.04,9
AIRAN,Airan Limited,11.1,8.57,184,275,0,0.02
AIROLAM,Airo Lam limited,7.78,4.77,141,17.1,0,1.79
AJANTPHARM,Ajanta Pharma Limited,33,25.7,"34,592",36.4,1.03,19.97
AJAXENGG,Ajax Engineering Limited,33.6,25.1,"5,875",23.4,0,3.42
AJMERA,Ajmera Realty & Infra India Limited,13.3,11.8,"2,972",27.2,0.6,1.06
AJOONI,Ajooni Biotech Limited,6.91,5.15,66.7,13.6,0,0.1
AKASH,Akash Infra-Projects Limited,2.74,0.38,41.7,50.3,0,-0.6
AKG,Akg Exim Limited,2.96,0.99,43.8,118,0,0.02
AKI,AKI India Limited,4.54,1.8,63,31.8,0,0.04
AKSHAR,Akshar Spintex Limited,-6.01,-6.72,38.6,,0,-0.03
AKSHARCHEM,AksharChem India Limited,3.46,1.82,189,,0.31,-5.75
AKSHOPTFBR,Aksh Optifibre Limited,-8.31,-20.6,89.3,,0,-0.08
AKUMS,Akums Drugs and Pharmaceuticals Limited,16.2,13.2,"6,895",50.3,0,1.49
AKZOINDIA,Akzo Nobel India Limited,41.7,32.2,"12,619",32.3,3.64,369.5
ALANKIT,Alankit Limited,7.45,4.86,254,18.1,0,0.11
ALBERTDAVD,Albert David Limited,6.45,4.39,395,,0.71,-5.78
ALEMBICLTD,Alembic Limited,18.1,17,"2,392",17,2.59,2.95
ALGOQUANT,Algoquant Fintech Limited,32.8,38.1,"1,720",132,0,0.23
ALICON,Alicon Castalloy Limited,10.9,7.1,"1,104",37.5,0.82,6.44
ALIVUS,Alivus Life Sciences Limited,24.9,18.7,"11,818",21,0.53,12.25
ALKALI,Alkali Metals Limited,-4.87,-7.28,68.8,,0.72,-0.89
ALKEM,Alkem Laboratories Limited,19.5,19.9,"67,758",30.3,0.79,65.8
ALKYLAMINE,Alkyl Amines Chemicals Limited,18.7,14,"8,142",44.7,0.63,8.4
ALLCARGO,Allcargo Logistics Limited,5.29,5.18,"1,555",114,10.6,-0.06
ALLDIGI,Alldigi Tech Limited,33.8,27.7,"1,373",20.1,6.64,14.16
ALLTIME,All Time Plastics Limited,19.2,21,"1,506",39.5,0,0.64
ALMONDZ,Almondz Global Securities Limited,2.03,1.15,257,99.6,0,0.03
ALOKINDS,Alok Industries Limited,-4.09,,"7,503",,0,-0.43
ALPA,Alpa Laboratories Limited,15,11.5,141,7.5,0,0.05
ALPHAGEO,Alphageo (India) Limited,-5.61,-4.75,134,,3.81,-9.03
AMAGI,Amagi Media Labs Limited,-19,-28.5,"8,007",,0,-35.73
AMANTA,Amanta Healthcare Limited,14.8,13,400,39.3,0,0.31
AMBER,Amber Enterprises India Limited,11.6,7.63,"20,131",165,0,-13.86
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,7.49,0.45,41,80.5,0,0.54
AMBIKCO,Ambika Cotton Mills Limited,11.5,7.46,728,11.8,2.92,27.84
AMBUJACEM,Ambuja Cements Limited,8.8,8.77,"1,31,489",25.7,0.37,5.61
AMDIND,AMD Industries Limited,4.57,0.64,84.3,,0,-1.54
AMJLAND,Amj Land Holdings Limited,10.5,10.2,172,8.39,0.46,1.11
AMNPLST,Amines & Plasticizers Limited,20,16.9,924,25.9,0.3,1.1
AMRUTANJAN,Amrutanjan Health Care Limited,22.4,16.5,"1,672",29.5,0.78,4.83
ANANDRATHI,Anand Rathi Wealth Limited,54,42.7,"23,645",65.3,0.36,12.02
ANANTRAJ,Anant Raj Limited,6.71,6.17,"18,111",63.2,0.15,2.15
ANDHRAPAP,ANDHRA PAPER LIMITED,4.5,3.07,"1,287",62.6,1.56,-1.02
ANDHRSUGAR,The Andhra Sugars Limited,4.63,3.4,948,10.1,1.14,2.29
ANGELONE,Angel One Limited,26.3,28.3,"23,539",27.6,1.83,33.13
ANIKINDS,Anik Industries Limited,1.51,1.18,139,47.3,0,0.27
ANMOL,Anmol India Limited,9.81,6.7,68.6,8.82,0,0.01
ANTELOPUS,Antelopus Selan Energy Limited,22.8,17.2,"1,930",29.2,0,8.11
ANTGRAPHIC,Antarctica Limited,-1.59,-1.98,14.3,6.11,0,0.03
ANTHEM,Anthem Biosciences Limited,30.7,23,"33,607",62.8,0,3.53
ANUHPHR,Anuh Pharma Limited,17.2,13.4,731,18.9,2.05,0.76
ANUP,The Anup Engineering Limited,24,20,"3,509",29.7,1.05,15.99
ANURAS,Anupam Rasayan India Limited,4.73,2.62,"14,061",110,0.06,3.64
APARINDS,Apar Industries Limited,33.3,19.8,"32,078",32.7,0.66,51.69
APCL,Anjani Portland Cement Limited,-2.46,-8.84,397,,0,-3.18
APCOTEXIND,Apcotex Industries Limited,12.8,9.99,"1,930",23.2,1.76,4.29
APEX,Apex Frozen Foods Limited,2.43,0.76,915,44,0.68,3.8
APLAPOLLO,APL Apollo Tubes Limited,14.7,10.7,"56,868",115,0.28,4.31
APLLTD,Alembic Pharmaceuticals Limited,11.3,9.68,"15,267",34.4,1.47,9.12
APOLLO,Apollo Micro Systems Limited,14.5,10.2,"9,384",110,0.1,0.98
APOLLOHOSP,Apollo Hospitals Enterprise Limited,16.4,15.1,"99,734",71.2,0.28,29.2
APOLLOPIPE,Apollo Pipes Limited,6.78,4.3,"1,170",63.5,0.27,-0.28
APOLLOTYRE,Apollo Tyres Limited,9.8,6.28,"31,126",40.4,1.03,4.36
APOLSINHOT,Apollo Sindoori Hotels Limited,12.3,11.5,338,29.7,0.19,13.42
APTECHT,Aptech Limited,15.2,10.3,466,24.4,5.58,0.81
APTUS,Aptus Value Housing Finance India Limited,14.3,16,"13,683",20.5,1.67,4.03
ARCHIDPLY,Archidply Industries Limited,9.56,6.74,181,19.8,0,1.19
ARCHIES,Archies Limited,4.06,2.78,53.2,,0,-0.07
ARE&M,Amara Raja Energy & Mobility Limited,16.8,12.3,"15,407",19.1,1.25,16.52
ARENTERP,Rajdarshan Industries Limited,0.87,1.06,12.6,,0,-0.23
ARFIN,Arfin India Limited,14,7.23,"1,265",178,0.14,0.15
ARIHANTCAP,Arihant Capital Markets Limited,21.6,15.6,857,21.2,0.6,1.21
ARIHANTSUP,Arihant Superstructures Limited,5.07,8.87,"1,165",75.2,0.56,0.08
ARISINFRA,Arisinfra Solutions Limited,4.49,-5.13,888,,0,1.42
ARKADE,Arkade Developers Limited,30.3,25.8,"2,102",14.3,0.9,2.17
ARMANFIN,Arman Financial Services Limited,11.2,7.7,"1,692",38.5,0,8.48
AROGRANITE,Aro Granite Industries Limited,1.68,-3.36,41.1,,0,-1.63
ARROWGREEN,Arrow Greentech Limited,52.8,39.3,651,14.9,0.93,8.88
ARSSBL,Anand Rathi Share and Stock Brokers Limited,21.3,23,"3,629",33.4,0,6.04
ARTEMISMED,Artemis Medicare Services Limited,14.9,12.9,"3,833",40.2,0.19,2.16
ARTNIRMAN,Art Nirman Limited,6.63,5.48,107,76.1,0,0.17
ARVIND,Arvind Limited,12.8,6.95,"8,318",27.6,1.14,2.37
ARVINDFASN,Arvind Fashions Limited,2.8,1.63,"6,330",,0.35,-1.33
ARVSMART,Arvind SmartSpaces Limited,2.87,1.33,"2,449","1,256",1.13,-0.82
