Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
BSHSL,Bombay Super Hybrid Seeds Limited,21.2,28.8,941,33.9,0,0.21
BSL,BSL Limited,7.73,6.79,144,26.1,0.57,1.67
BSOFT,BIRLASOFT LIMITED,23.5,18.6,"11,655",37.2,1.55,2.35
BTML,Bodhi Tree Multimedia Limited,23.1,17.8,139,21.6,0,0.1
BUILDPRO,Shankara Buildpro Limited,,,"1,736",18.6,0,12.12
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,15,10,"1,077",26.4,0,9.51
BVCL,Barak Valley Cements Limited,11.9,7.53,99.8,13.4,0,0.24
BYKE,The Byke Hospitality Ltd,4.58,2.01,264,50,0,0.25
CALSOFT,California Software Company Limited,3.88,3.42,40.5,44,0,0.04
CAMLINFINE,Camlin Fine Sciences Limited,3.75,2.33,"2,739",,0,-0.19
CAMPUS,Campus Activewear Limited,20.1,17.2,"7,724",62.4,0.4,0.66
CAMS,Computer Age Management Services Limited,54.8,43.9,"17,312",39,1.77,4.93
CANBK,Canara Bank,6.79,18.2,"1,33,792",6.83,2.67,5.68
CANFINHOME,Can Fin Homes Limited,9.34,18.2,"12,106",12.4,1.33,19.89
CANHLIFE,Canara HSBC Life Insurance Company Limited,8.73,7.95,"13,951",121,0,0.29
CANTABIL,Cantabil Retail India Limited,18.2,20.8,"2,448",31.2,0.35,0.81
CAPACITE,Capacit'e Infraprojects Limited,16.8,11.3,"1,872",10.9,0,5.31
CAPILLARY,Capillary Technologies India Limited,1.88,0.73,"5,014","1,453",0,0.48
CAPITALSFB,Capital Small Finance Bank Limited,7.04,10.4,"1,172",8.64,1.56,7.58
CAPLIPOINT,Caplin Point Laboratories Limited,28.6,22,"13,567",38.8,0.35,13.5
CAPTRUST,Capital Trust Limited,12.2,1.37,50.5,,0,-3.88
CARBORUNIV,Carborundum Universal Limited,17.6,13.3,"15,007",42.2,0.49,4.44
CARERATING,CARE Ratings Limited,24.1,18.3,"4,812",30.2,1.14,18.61
CARRARO,Carraro India Limited,21.8,20,"2,979",31,0.87,5.38
CARTRADE,Cartrade Tech Limited,4.33,3.53,"12,705",119,0,5.98
CARYSIL,CARYSIL LIMITED,13,11.1,"2,255",42.9,0.3,6.12
CASTROLIND,Castrol India Limited,55.2,41.8,"18,244",18.7,4.58,2.3
CCHHL,Country Club Hospitality & Holidays Limited,0.93,-0.46,211,93.1,0,0
CCL,CCL Products (India) Limited,10.1,8.02,"12,933",70.6,0.54,8.41
CDSL,Central Depository Services (India) Limited,46.5,36.3,"27,835",59.9,0.94,6.1
CEATLTD,CEAT Limited,15.8,12.2,"15,208",21.6,0.83,47.36
CEIGALL,Ceigall India Limited,22,19.5,"4,668",18.7,0,3.21
CELEBRITY,Celebrity Fashions Limited,-13.2,-67,45.6,,0,-0.66
CELLO,Cello World Limited,10.2,8.01,"10,986",112,0.3,1.06
CEMPRO,Cemindia Projects Limited,27.4,21.7,"11,030",24.8,0.33,6.27
CENTENKA,Century Enka Limited,5.98,4.24,950,16.1,2.31,10.32
CENTEXT,Century Extrusions Limited,18.3,12.7,176,17.2,0,0.34
CENTRALBK,Central Bank of India,5.45,11.1,"33,916",7.31,1.62,1.39
CENTRUM,Centrum Capital Limited,5.53,-19,"1,135",,0,-0.35
CENTUM,Centum Electronics Limited,16.6,12,"3,434",50.3,0.27,8.87
CENTURYPLY,Century Plyboards (India) Limited,15.1,12.3,"17,641",64,0.13,3.27
CERA,Cera Sanitaryware Limited,22.4,18.3,"6,479",27.5,1.31,43.92
CESC,CESC Limited,9.95,7.97,"19,605",23.3,4.05,1.83
CEWATER,Concord Enviro Systems Limited,3.22,2.49,878,121,0,0.49
CGCL,Capri Global Capital Limited,11.4,11,"16,871",22.8,0.11,2.29
CGPOWER,CG Power and Industrial Solutions Limited,35.8,26,"91,446",75.8,0.22,1.98
CHALET,Chalet Hotels Limited,11.9,6.88,"19,038",31.4,0.12,7.66
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,27.6,20.3,"17,514",9.49,2.28,15.02
CHEMBOND,Chembond Material Technologies Limited,10.8,9.72,202,21.7,1.17,0.03
CHEMBONDCH,Chembond Chemicals Limited,8,6.3,390,47,0.52,0.84
CHEMCON,Chemcon Speciality Chemicals Limited,7.01,5,644,25.8,0,1.57
CHEMFAB,Chemfab Alkalis Limited,5.89,3.69,586,59.4,0.31,-0.72
CHEMPLASTS,Chemplast Sanmar Limited,-0.55,-1.67,"4,154",,0,-2.25
CHENNPETRO,Chennai Petroleum Corporation Limited,4.04,2.1,"12,917",6.17,0.57,66.3
CHEVIOT,Cheviot Company Limited,10,7.75,587,10.4,0.5,25.4
CHOICEIN,Choice International Limited,3.15,2.05,"17,243",,0,0.04
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10.3,19.7,"1,37,288",29.5,0.12,13.73
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,6.26,4.88,"31,022",451,0.08,1.45
CIEINDIA,CIE Automotive India Limited,14.6,11.3,"15,798",26.4,1.7,3.64
CIFL,Capital India Finance Limited,6.83,1.98,"1,277",,0.06,0.97
CIGNITITEC,Cigniti Technologies Limited,31.4,24.6,"4,478",22,0,19.53
CINELINE,Cineline India Limited,5.25,5.27,283,12.8,0,1.81
CINEVISTA,Cinevista Limited,-18.9,-44.6,91.9,,0,0.61
CIPLA,Cipla Limited,20.1,16,"1,06,861",23.3,0.98,7.64
CLEAN,Clean Science and Technology Limited,29.3,21.9,"9,149",31.1,0.71,6.08
CLEDUCATE,CL Educate Limited,1.99,-3.44,399,,0,-0.83
CLSEL,Chaman Lal Setia Exports Limited,16.7,14.2,"1,220",13,1.02,3.81
CMSINFO,CMS Info Systems Limited,21.8,15.7,"5,192",16.1,2.04,4.53
CNL,Creative Newtech Limited,14.1,10.7,"1,022",37.5,0.07,4.72
COALINDIA,Coal India Limited,96.6,96.1,"2,70,605",12.7,6.03,13.54
COCHINSHIP,Cochin Shipyard Limited,20.4,15.8,"43,199",60.7,0.63,5.23
COFFEEDAY,Coffee Day Enterprises Limited,0.17,-0.63,642,,0,-0.28
COFORGE,Coforge Limited,13.9,11.3,"55,867",76.9,0.93,2.54
COHANCE,Cohance Lifesciences Limited,16,12.5,"14,664",39.6,0,2.46
COLPAL,Colgate Palmolive (India) Limited,105,81.2,"56,981",42.8,2.4,11.91
COMPUSOFT,Compucom Software Limited,3.86,1.5,114,40.1,1.39,0.11
CONCOR,Container Corporation of India Limited,13.8,10.7,"38,317",30.3,1.85,4.32
CONCORDBIO,Concord Biotech Limited,28.4,21.4,"12,367",38.5,0.91,6.01
CONFIPET,Confidence Petroleum India Limited,10,6.84,"1,075",13,0.31,0.59
CONSOFINVT,Consolidated Finvest & Holdings Limited,7.72,11.8,540,8.11,0.69,4.85
CONTROLPR,Control Print Limited,22.7,30.8,"1,025",8.05,1.55,10.05
CORALFINAC,Coral India Finance & Housing Limited,10.5,8.64,143,11,1.13,0.88
CORDSCABLE,Cords Cable Industries Limited,16.2,8.31,210,12.6,0.6,2.77
COROMANDEL,Coromandel International Limited,24.6,17.5,"67,052",31,0.55,17.96
CORONA,CORONA Remedies Limited,31.5,27.6,"9,034",56.9,0,8.53
COSMOFIRST,COSMO FIRST LIMITED,8.43,7.22,"1,549",15.7,0.69,11.22
COUNCODOS,Country Condo's Limited,4.26,2.42,40.2,68.1,0,0.03
CPCAP,CP Capital Limited,10,8.13,182,5.32,3,4.51
CPEDU,Career Point Edutech Limited,49,38.7,397,21.1,1.16,2.62
CPPLUS,Aditya Infotech Limited,20.6,21.8,"16,524",93.7,0,5.61
CRAFTSMAN,Craftsman Automation Limited,8.11,4.31,"17,295",100,0.07,23.57
CRAMC,Canara Robeco Asset Management Company Limited,47.7,36.2,"4,985",25.5,0.59,2.65
CREATIVEYE,Creative Eye Limited,0.72,-3.54,13.6,,0,-0.35
CREDITACC,CREDITACCESS GRAMEEN LIMITED,9.55,7.86,"21,391",44.1,0,15.75
CREST,Crest Ventures Limited,9.65,7.65,"1,023",24.9,0.27,0.99
CRISIL,CRISIL Limited,39,36.5,"34,183",51.2,0.55,18.79
CRIZAC,Crizac Limited,30.4,23.2,"4,409",27,3.17,2.41
CROMPTON,Crompton Greaves Consumer Electricals Limited,20.1,16.5,"14,256",28.9,1.35,1.09
CROWN,Crown Lifters Limited,18.9,20,128,11.9,0,1.96
CSBBANK,CSB Bank Limited,7.11,14.3,"7,650",12.3,0,8.8
CSLFINANCE,CSL Finance Limited,14.6,14.2,630,7.71,1.08,10.74
CTE,Cambridge Technology Enterprises Limited,9.65,5.04,66.7,117,0,-0.14
CUB,City Union Bank Limited,6.86,12.6,"22,263",18.4,0.69,4.43
CUBEXTUB,Cubex Tubings Limited,10.9,9.18,194,26.1,0,1.22
CUMMINSIND,Cummins India Limited,37.6,28.8,"1,13,367",50.9,1.27,23
CUPID,Cupid Limited,17.1,12.9,"11,337",136,0,1.22
CYBERMEDIA,Cyber Media (India) Limited,,,25.8,,0,-0.17
CYBERTECH,Cybertech Systems And Software Limited,16.3,12.8,400,16.3,3.09,2.08
CYIENT,Cyient Limited,15.6,13.2,"12,568",27.6,2.35,-13.11
CYIENTDLM,Cyient DLM Limited,12.3,8.23,"2,976",44,0,0.99
DABUR,Dabur India Limited,24.6,19.6,"89,527",61.4,1.57,2.48
DALBHARAT,Dalmia Bharat Limited,2.56,2.36,"38,719",265,0.44,1.07
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,9.48,12.4,"2,287",6.97,2.13,2.88
DAMCAPITAL,Dam Capital Advisors Limited,64.8,49.2,"1,251",11.1,0.58,7.37
DAMODARIND,Damodar Industries Limited,2.93,-5.84,59.4,7.74,0,0.42
DANGEE,Dangee Dums Limited,2.64,-3.24,46.7,,0,-0.01
DATAMATICS,Datamatics Global Services Limited,7.82,6.11,"4,055",43.5,0.74,2.62
DATAPATTNS,Data Patterns (India) Limited,21,15.2,"14,991",64.2,0.32,8.79
DAVANGERE,Davangere Sugar Company Limited,6.7,3.17,615,48.6,0,0.02
DBCORP,D.B.Corp Limited,21,16.7,"4,309",13.4,4.96,5.35
DBEIL,Deepak Builders & Engineers India Limited,25.3,19.8,420,8.88,1.08,1.07
DBL,Dilip Buildcon Limited,9.57,3.41,"7,404",52.4,0.22,2.51
DBOL,Dhampur Bio Organics Limited,4.2,1.49,697,33.7,1.16,2.09
DBREALTY,Valor Estate Limited,-2.92,-3.29,"5,740",,0,1.02
DBSTOCKBRO,DB (International) Stock Brokers Limited,12.4,7.91,87.2,20.3,0,0.27
DCAL,Dishman Carbogen Amcis Limited,0.82,-0.28,"3,418",,0,-0.87
DCBBANK,DCB Bank Limited,7.67,11.4,"6,442",9.16,0.68,5.74
DCI,Dc Infotech And Communication Limited,25.5,23.6,359,21.4,0,3.13
DCM,DCM  Limited,35.1,15.4,158,28.5,0,0.75
DCMFINSERV,DCM Financial Services Limited,-3.31,,8.82,,0,-0.18
DCMNVL,DCM Nouvelle Limited,7.55,5.76,250,14.3,0,0.81
DCMSHRIRAM,DCM Shriram Limited,10.8,8.07,"18,417",27.2,0.76,12.91
DCMSRIND,DCM Shriram Industries Limited,13.8,11.9,490,7.24,5.35,0.35
DCW,DCW Limited,7.93,2.91,"1,351",27,0.22,0.47
DCXINDIA,DCX Systems Limited,5.1,3.14,"1,979",50.5,0,0.64
DDEVPLSTIK,Ddev Plastiks Industries Limited,33.9,24.9,"3,010",15.2,0.62,4.55
DECCANCE,Deccan Cements Limited,1.53,0.75,888,26.8,0.09,6.48
DEEDEV,DEE Development Engineers Limited,6.94,3.54,"1,306",36,0,1.92
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,14.9,12.3,"13,405",41.7,0.93,0.85
DEEPAKNTR,Deepak Nitrite Limited,10.1,8.22,"22,525",106,0.47,8.19
DEEPINDS,Deep Industries Limited,12.4,9.67,"2,377",14.2,0.83,7.85
DELHIVERY,Delhivery Limited,2.71,1.78,"31,671",114,0,0.82
DELPHIFX,DELPHI WORLD MONEY LIMITED,7.24,-4.02,376,22.4,0,1.62
DELTACORP,Delta Corp Limited,8.53,5.78,"1,734",18.8,1.99,0.72
DELTAMAGNT,Delta Manufacturing Limited,-10.8,-39.8,68.4,,0,-1.43
DEN,Den Networks Limited,2.83,2.06,"1,352",11.5,0,0.42
DENORA,De Nora India Limited,0.88,1.84,325,123,0,7.29
DENTA,Denta Water and Infra Solutions Limited,25.2,18.4,719,10.9,0.91,7.09
DEVIT,Dev Information Technology Limited,26.5,24.3,177,27.9,0.63,12.55
DEVX,Dev Accelerator Limited,14.3,3.57,347,233,0,0.15
DEVYANI,Devyani International Limited,7.53,2.2,"14,381",,0,-0.12
DGCONTENT,Digicontent Limited,-0.77,-40.6,149,,0,-0.53
DHAMPURSUG,Dhampur Sugar Mills Limited,5.86,4.45,752,13.4,0,-1.36
DHANBANK,Dhanlaxmi Bank Limited,5.47,5.48,955,10.8,0,0.61
DHANUKA,Dhanuka Agritech Limited,28.3,22,"5,008",17.9,0.18,20.85
DHARMAJ,Dharmaj Crop Guard Limited,12,9.28,828,17,0,5.13
DHRUV,Dhruv Consultancy Services Limited,11.3,8.19,72.6,10.8,0.53,0.53
DHUNINV,Dhunseri Investments Limited,3.16,2.31,618,191,0.3,3
DIACABS,Diamond Power Infrastructure Limited,,,"6,521",111,0,0.48
DIAMINESQ,Diamines & Chemicals Limited,4.22,2.85,247,,0.4,-3.78
DIAMONDYD,Prataap Snacks Limited,-1.35,-1.22,"2,700",,0.04,1.94
DICIND,DIC India Limited,6.43,4.66,498,25.6,0.72,6.4
DIFFNKG,Diffusion Engineers Limited,14.2,11.6,901,21.2,0.63,2.65
DIGIDRIVE,Digidrive Distributors Limited,2.71,2.02,84.1,17,0,0.16
DIGISPICE,DiGiSPICE Technologies Limited,-4.23,-4.23,474,,0,-0.03
DIGITIDE,Digitide Solutions Limited,,15,"1,711",23.5,0,-0.55
DIGJAMLMTD,Digjam Limited,5.04,18.6,97,88.2,0,-0.87
DISHTV,Dish TV India Limited,,,643,,0,-0.33
DIVGIITTS,Divgi Torqtransfer Systems Limited,5.69,4.14,"1,871",61.8,0.42,3.52
DIVISLAB,Divi's Laboratories Limited,20.6,15.6,"1,59,555",63.5,0.5,26.22
DIXON,Dixon Technologies (India) Limited,11.7,8.71,"63,726",85.3,0.08,30.83
DJML,DJ Mediaprint & Logistics Limited,16,13.5,252,33.5,0.14,0.54
DLF,DLF Limited,8.34,6.3,"1,57,430",57.6,0.95,1.2
DLINKINDIA,D-Link (India) Limited,29.4,22.1,"1,412",13.8,5.03,7.07
DMART,Avenue Supermarts Limited,18.4,14,"2,39,102",76.7,0,14.18
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,14.1,9.97,576,20.7,1.08,2.31
DNAMEDIA,Diligent Media Corporation Limited,7.94,,38.9,9.81,0,-0.06
DODLA,Dodla Dairy Limited,26.9,20.6,"7,212",30.6,0.42,9.42
DOLATALGO,Dolat Algotech Limited,32,24,"1,384",11.4,0.31,2.21
DOLLAR,Dollar Industries Limited,12.6,10.6,"1,784",17.3,0.96,6.26
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,2.95,1.97,"1,674",166,0,1.45
DOMS,DOMS Industries Limited,26,21.7,"14,443",70.8,0.14,9.19
DONEAR,Donear Industries Limited,13.5,14.5,450,13.3,0.24,2.38
DPABHUSHAN,D. P. Abhushan Limited,33.6,35.1,"2,941",15.8,0,32.13
DPSCLTD,DPSC Limited,2.88,0.44,845,352,0.56,0.04
DPWIRES,D P Wires Limited,12.5,9.36,267,19.4,0,0.77
DRCSYSTEMS,DRC Systems India Limited,13.1,11.1,213,48.3,0,0.07
DREAMFOLKS,Dreamfolks Services Limited,34.9,25.6,491,7.15,0,2.29
DREDGECORP,Dredging Corporation of India Limited,-0.31,-3.67,"3,200",,0,-12.21
DRREDDY,Dr. Reddy's Laboratories Limited,25.8,20.3,"1,01,600",22,0.67,1.09
DSSL,Dynacons Systems & Solutions Limited,39.2,37.3,"1,172",14.9,0.05,17.74
DTIL,Dhunseri Tea & Industries Limited,-2.78,-4.64,152,,0.69,26.65
DUCON,Ducon Infratechnologies Limited,7.51,3.86,107,20,0,0.04
DVL,Dhunseri Ventures Limited,4.25,3.32,909,21.9,1.93,-12.2
DWARKESH,Dwarikesh Sugar Industries Limited,5.48,2.86,643,42.7,1.47,-1.76
DYCL,Dynamic Cables Limited,26.4,22.1,"1,434",17.1,0.08,4.63
DYNAMATECH,Dynamatic Technologies Limited,9.83,8.19,"5,907",117,0.02,23.26
DYNPRO,Dynemic Products Limited,10,7.07,276,15.8,0,3.52
E2E,E2E Networks Limited,8.08,5.71,"4,228",,0,-2.83
EASEMYTRIP,Easy Trip Planners Limited,20.1,14.7,"2,306",43.3,0,-0.11
EBGNG,GNG Electronics Limited,17.2,21.8,"2,850",121,0,0.68
ECLERX,eClerx Services Limited,28.8,23.6,"22,039",50.4,0.02,26.44
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,34.5,28.3,"1,224",21.6,1.13,2.38
EDELWEISS,Edelweiss Financial Services Limited,3.41,-0.95,"10,137",95.8,1.44,0.35
EFCIL,EFC (I) Limited,6.62,4.84,"3,385",135,0,0.82
EICHERMOT,Eicher Motors Limited,31.7,25.1,"1,94,533",41.4,1,44.04
EIDPARRY,EID Parry India Limited,1.66,-0.79,"16,464",822,0,-16.06
EIEL,Enviro Infra Engineers Limited,33,26.8,"3,186",16.6,0,2.23
EIFFL,Euro India Fresh Foods Limited,9.9,8.05,613,175,0,-0.47
EIHAHOTELS,EIH Associated Hotels Limited,25.7,19.2,"2,012",21,1.06,0.45
EIHOTEL,EIH Limited,21.9,17.5,"19,558",27.9,0.48,1.65
EIMCOELECO,Eimco Elecon (India) Limited,16,11.8,"1,013",21.5,0.3,21.7
EKC,Everest Kanto Cylinder Limited,11.6,7.94,"1,229",18.5,0.65,0.32
ELDEHSG,Eldeco Housing And Industries Limited,10.4,7.89,855,41.1,1.03,4.81
ELECON,Elecon Engineering Company Limited,29.1,22.6,"9,265",24.9,0.51,2.76
ELECTCAST,Electrosteel Castings Limited,13.8,13.6,"4,420",8.68,1.98,1.23
ELECTHERM,Electrotherm (India) Limited,32.5,,"1,032",5.96,0,-17.04
ELGIEQUIP,Elgi Equipments Limited,28.4,21.9,"13,657",38.9,0.52,2.87
ELGIRUBCO,Elgi Rubber Company Limited,1.57,-2.01,207,,0,-0.25
ELIN,Elin Electronics Limited,7.25,4.39,746,25.2,0,1.83
ELLEN,Ellenbarrie Industrial Gases Limited,18.2,17.8,"3,735",42.8,0,2.61
EMAMILTD,Emami Limited,34,31.5,"21,159",26,1.64,4.18
EMAMIPAP,Emami Paper Mills Limited,6.58,4.8,508,27.4,1.9,1.09
EMAMIREAL,Emami Realty Limited,-1.93,,312,,0,-8.12
EMCURE,Emcure Pharmaceuticals Limited,13.5,11.6,"27,606",63.8,0.21,6.2
EMIL,Electronics Mart India Limited,10.4,11.1,"3,497",38.3,0,0.42
EMKAY,Emkay Global Financial Services Limited,25.6,28.7,653,43.5,0.59,1.21
EMMBI,Emmbi Industries Limited,8.03,3.7,180,22.3,0.33,1.54
EMMVEE,Emmvee Photovoltaic Power Limited,39.8,44.5,"13,300",97.7,0,0.2
EMSLIMITED,EMS Limited,28.4,20.9,"1,874",11.6,0.46,5.05
EMUDHRA,eMudhra Limited,5.04,3.48,"4,389",191,0.25,0.81
ENDURANCE,Endurance Technologies Limited,21.5,16.1,"34,346",49.2,0.42,13.34
ENGINERSIN,Engineers India Limited,24.4,18.4,"9,687",18.8,2.32,2.04
ENIL,Entertainment Network (India) Limited,2.48,0.83,548,44.4,1.74,-0.75
ENRIN,Siemens Energy India Limited,39,29.1,"87,463",79.1,0.16,10.1
ENTERO,Entero Healthcare Solutions Limited,4.54,3.22,"4,838",113,0,1.31
EPACK,EPACK Durable Limited,9.91,6.3,"2,203",42.1,0,0.71
EPACKPEB,EPack Prefab Technologies Limited,23.6,22.3,"2,079",25.3,0,1.68
EPIGRAL,Epigral Limited,24.9,22.3,"4,563",11.4,0.58,11.94
EPL,EPL Limited,20.4,21.2,"6,164",26.4,2.6,2.94
EQUITASBNK,Equitas Small Finance Bank Limited,6.85,2.43,"7,942",,0,0.79
ERIS,Eris Lifesciences Limited,6.86,3.02,"19,140",67.9,0.56,10.98
ESABINDIA,Esab India Limited,70,52.3,"8,571",46.6,1.18,51.45
ESAFSFB,ESAF Small Finance Bank Limited,4.28,-23.5,"1,433",,0,-2.25
ESCORTS,Escorts Kubota Limited,13.7,12.8,"37,622",31.1,0.84,28.71
ESSENTIA,Integra Essentia Limited,4.75,2.66,187,60.5,0,0.01
ESTER,Ester Industries Limited,7.45,4.6,936,26.2,0.62,-0.49
ETERNAL,ETERNAL LIMITED,7.34,6.55,"2,65,529",105,0,0.68
ETHOSLTD,Ethos Limited,14,10.6,"6,862",70.4,0,8.67
EUREKAFORB,Eureka Forbes Limited,5.04,3.69,"10,504",57,0,3.18
EUROBOND,Euro Panel Products Limited,15.9,14.9,424,18.4,0,2.7
EUROPRATIK,Euro Pratik Sales Limited,40.6,31.9,"2,326",41,0,1.67
EVEREADY,Eveready Industries India Limited,17,19.6,"2,456",32.6,0.45,-1.11
EVERESTIND,Everest Industries Limited,3.19,1.64,698,,0.56,-7.6
EXCEL,Excel Realty N Infra Limited,0.76,0.75,166,,0,0
EXCELINDUS,Excel Industries Limited,9.45,6.92,"1,183",16.9,1.45,14.9
EXCELSOFT,Excelsoft Technologies Limited,16.4,10.3,806,22.6,0,1.01
EXICOM,Exicom Tele-Systems Limited,7.13,3.23,"1,392",870,0,0.43
EXIDEIND,Exide Industries Limited,10.2,7.62,"27,459",26.3,0.63,2.6
EXPLEOSOL,Expleo Solutions Limited,20.4,15.7,"1,402",16,5.54,21.64
FABTECH,Fabtech Technologies Limited,19.6,16.7,728,19.9,0,6.6
FACT,Fertilizers and Chemicals Travancore Limited,8.65,1.61,"53,264","3,596",0.02,-1.05
FAIRCHEMOR,Fairchem Organics Limited,10.2,7.51,840,139,1.16,0.59
FAZE3Q,Faze Three Limited,11.8,8.53,941,27.6,0,-1.79
FCL,Fineotex Chemical Limited,25.4,19.7,"2,625",29.5,0.36,0.22
FCSSOFT,FCS Software Solutions Limited,0.97,0.7,262,,0,-0.01
FDC,FDC Limited,16.4,12.1,"6,169",26.1,1.33,1.81
FEDERALBNK,The Federal Bank  Limited,6.95,13,"71,089",18.2,0.42,4.23
FEDFINA,Fedbank Financial Services Limited,9.82,9.38,"5,763",18.3,0,2.35
FIBERWEB,Fiberweb (India) Limited,10,8.88,107,6.61,0,0.89
FIEMIND,Fiem Industries Limited,27.7,21,"5,684",25.6,1.36,24.23
FILATEX,Filatex India Limited,14.1,10.6,"2,043",11.6,0.56,1.07
FILATFASH,Filatex Fashions Limited,0.63,0.41,242,32.7,0,0
FINCABLES,Finolex Cables Limited,16.2,12.4,"11,063",18.4,1.14,12.22
FINEORG,Fine Organic Industries Limited,25.8,19.1,"13,078",36.3,0.27,31.1
FINKURVE,Finkurve Financial Services Limited,11.4,8.81,"1,227",59.6,0,0.42
FINOPB,Fino Payments Bank Limited,6.64,13.3,"1,805",25.2,0,1.47
FINPIPE,Finolex Industries Limited,8.77,6.76,"10,964",25.1,1.16,1.92
FIRSTCRY,Brainbees Solutions Limited,2.33,1.17,"14,288",167,0,0.54
FISCHER,Fischer Medical Ventures Limited,0.5,0.32,"2,477",,0.01,0.01
FIVESTAR,Five-Star Business Finance Limited,16.3,18.6,"13,500",12.2,0.45,9.41
FLAIR,Flair Writing Industries Limited,15.6,11.9,"3,220",27.6,0.33,2.4
FLEXITUFF,Flexituff Ventures International Limited,9.43,,36.1,,0,-5.49
FLUOROCHEM,Gujarat Fluorochemicals Limited,11,9.28,"33,212",47.5,0.1,17.75
FMGOETZE,Federal-Mogul Goetze (India) Limited.,20.6,14.8,"2,382",13.3,0,9.24
FMNL,Future Market Networks Limited,16.3,26.8,52.2,,0,0.57
FOCUS,Focus Lighting and Fixtures Limited,15.8,13.2,467,44.1,0,0.24
FOODSIN,Foods & Inns Limited,12.1,9.19,448,12.9,0.48,0.24
FORCEMOT,FORCE MOTORS LTD,29.3,20.2,"25,487",31.1,0.22,265.26
FORTIS,Fortis Healthcare Limited,3.27,1.41,"64,085",347,0.12,1.66
FOSECOIND,Foseco India Limited,31.3,23.3,"3,396",41.1,0.55,25.82
FSL,Firstsource Solutions Limited,16.9,15.3,"22,745",53.1,1.22,1.39
FUSION,Fusion Finance Limited,-2.96,-54.5,"2,954",,0,-1.37
GABRIEL,Gabriel India Limited,26.1,19.4,"13,568",60.5,0.51,4.22
GAEL,Gujarat Ambuja Exports Limited,11.5,8.64,"6,470",31.1,0.18,0.83
GAIL,GAIL (India) Limited,15.3,14.1,"1,09,804",13.5,4.47,3.37
GALAPREC,Gala Precision Engineering Limited,17,14.9,898,29.6,0,6.58
GALAXYSURF,Galaxy Surfactants Limited,15.5,12.3,"6,448",39.9,1.17,13.03
GALLANTT,Gallantt Ispat Limited,19.2,15.1,"12,547",25.6,0.24,3.62
GANDHAR,Gandhar Oil Refinery (India) Limited,11.4,6.59,"1,463",14,0.5,3.66
GANDHITUBE,Gandhi Special Tubes Limited,27.5,21,891,13.4,2.04,14.56
GANECOS,Ganesha Ecosphere Limited,8.91,6.72,"1,821",36.6,0.67,2.92
GANESHBE,Ganesh Benzoplast Limited,16.1,12.2,521,7.28,0,2.91
GANESHCP,Ganesh Consumer Products Limited,19,15.8,798,21.5,1.27,2.75
GANESHHOU,GANESH HOUSING LIMITED,37.4,28,"6,060",28.4,0.71,6.84
GANGAFORGE,Ganga Forging Limited,3.13,1.01,45.6,,0,-0.22
GANGESSECU,Ganges Securities Limited,0.89,0.65,120,28.8,0,3.53
GARFIBRES,Garware Technical Fibres Limited,23.1,17.5,"6,463",33,1.21,4.77
GARUDA,Garuda Construction and Engineering Limited,30.1,22.1,"1,444",16.8,0.02,2.92
GATECH,GACM Technologies Limited,15.1,13.2,65.3,7.95,0,0.02
GATECHDVR,GACM Technologies Limited,32.6,52.8,8.35,1.51,0,0.12
GATEWAY,Gateway Distriparks Limited,12.4,12.2,"2,922",11.5,3.39,1.38
GAYAHWS,Gayatri Highways Limited,6.63,,47.4,2.73,0,-0.21
GEECEE,GeeCee Ventures Limited,7.78,6.22,644,19.6,0,4.89
GEEKAYWIRE,Geekay Wires Limited,25.4,28.5,295,9.09,1.19,0.8
GEMAROMA,Gem Aromatics Limited,22.8,22.2,865,19.6,0,0.81
GENCON,Generic Engineering Construction and Projects Limited,7.55,2.97,291,23.9,0,0.38
GENESYS,Genesys International Corporation Limited,14.7,10.8,"1,325",24.6,0,1.47
GENUSPAPER,Genus Paper & Boards Limited,5.26,1.72,296,22.2,0,0.17
GENUSPOWER,Genus Power Infrastructures Limited,19.2,17.5,"8,597",18.2,0.87,4.87
GEOJITFSL,Geojit Financial Services Limited,-2.66,-3.82,"1,887",23.1,2.23,0.54
GESHIP,The Great Eastern Shipping Company Limited,14.9,15.2,"17,112",9.95,2.35,45.78
GFLLIMITED,GFL Limited,0.08,-1.3,528,322,0,0.04
GHCL,GHCL Limited,24,18.5,"4,900",9.57,2.26,11.61
GHCLTEXTIL,GHCL Textiles Limited,4.53,3.96,734,12.9,0.64,1.38
GICHSGFIN,GIC Housing Finance Limited,8.73,8.98,882,5.83,2.76,9.28
GICRE,General Insurance Corporation of India,16,12.2,"66,272",7.88,2.67,16.34
GILLANDERS,Gillanders Arbuthnot & Company Limited,3.79,1.85,188,88.6,0,7.92
GILLETTE,Gillette India Limited,56.1,41.6,"28,496",46,1.35,52.93
